word,A,B,C,D
opposition,decree,federal,opposition,commonwealth
optimism,beauty,innocence,optimism,goodness
organization,enterprise,organization,business,patriarchy
outrage,doomsday,outrage,antipathy,destruction
outskirt,outskirt,living,exhausted,oxygen
overtime,smart,distress,analysis,overtime
pace,ambition,player,vigor,pace
pagan,divinity,starting,pagan,prayer
panic,panic,con,last,burden
paradise,friday,alleviation,paradise,beauty
partnership,acquaintance,consortium,partnership,accordance
passion,libido,verb,passion,disappointment
past,type,significance,latitude,past
patience,anticipation,timing,patience,synergism
patriotism,commonwealth,soviet,regime,patriotism
payable,creditor,bid,payable,deadline
peace,growth,beauty,peace,holiness
peacetime,peacetime,divinity,heaven,divine
pedigree,collect,member,pedigree,lineage
penance,christianity,penance,morality,divinity
percolation,forenoon,idle,percolation,morning
performance,performance,listening,glee,sounding
peril,fervor,peril,depth,nature
permit,issuer,permit,possess,experience
personal,intellectual,type,personal,logic
perspective,singular,past,perspective,regard
pessimism,pessimism,gloom,clouding,distress
philharmonic,philharmonic,tone,interlude,aim
philosophy,law,philosophy,discovery,academia
piety,prayer,christianity,ministry,piety
pinpoint,pinpoint,territorial,distance,dimension
pity,woe,impression,courtesy,pity
placement,partnership,commission,placement,counseling
plague,plague,sadness,distress,woe
plan,idle,appointment,plan,quarterly
plenty,creditor,transfer,plenty,denomination
policy,republic,democracy,policy,commonwealth
poor,over,struggle,poor,moratorium
populace,outset,globalization,progress,populace
popularity,popularity,prominence,mention,discourse
pose,pose,whole,urge,participant
positive,paradise,positive,august,play
possess,possess,official,insured,consideration
possession,possession,materialization,demise,magic
postponement,tomorrow,timing,postponement,schedule
posture,posture,alternative,zen,concentration
potential,regeneration,progress,peace,potential
poverty,repugnance,departed,grief,poverty
power,power,baroque,principality,heir
practice,nostalgia,vitality,practice,inspiration
prayer,priesthood,catholic,divinity,prayer
precision,duration,lifespan,temporal,precision
prehistory,wrath,prehistory,initiative,wonder
premonition,premonition,spell,posterity,expectation
preparation,preparation,criteria,quarterly,furlough
presence,mind,illumination,presence,willing
preserve,capacity,provision,preserve,equivalent
prestige,incentive,reputation,satisfaction,prestige
prevention,prevention,assistance,safety,decline
pride,pride,empathy,tolerance,diversity
priesthood,devotion,priesthood,catholic,christian
primitive,awareness,primitive,carbonization,refuge
principality,reign,supremacy,principality,chosen
principle,advocate,principle,legislation,justification
principles,advocate,principles,legislation,justification
privacy,work,type,productivity,privacy
private,private,defeated,sin,inquisition
privilege,fancy,exclusive,privilege,midair
probability,probability,fair,circumstances,compulsion
probable,probable,odds,risk,chance
problem,guess,thought,think,problem
proceedings,proceedings,professionalization,enterprise,management
producer,drama,acting,tone,producer
production,bulk,manpower,production,construct
productivity,privacy,semester,productivity,schedule
profession,counseling,business,enterprise,profession
professional,patriarchy,situation,corporation,professional
professionalization,administration,corporation,professionalization,business
professor,derivation,consortium,curriculum,professor
progress,forefront,assessment,progress,revelation
prominence,listening,prominence,sounding,acting
promotion,deal,acquisition,promotion,workweek
propensity,propensity,add,rate,contingent
proposal,affection,promise,desire,proposal
prospect,prospect,necessity,survival,latitude
prosperity,capitalism,asset,accumulation,prosperity
protection,enforcement,trepidation,galvanization,protection
protest,rally,revolutionary,suffrage,protest
protocol,professional,commission,counseling,protocol
psychic,psychic,possession,lack,posterity
psychogenesis,insanity,psychogenesis,conjunction,recall
psychology,think,psychology,desensitization,psychogenesis
punishment,trial,punishment,enforcement,keeping
purgatory,moral,fervor,purgatory,hellhole
purity,purity,beauty,seasonal,goodness
pyromania,doomsday,disaster,pyromania,intensity
queer,empathy,diversity,inclusion,queer
question,know,assessment,phrase,question
quiet,quiet,spiritual,awareness,enlightened
radioactivity,armageddon,intensity,radioactivity,trouble
rage,discontent,willing,scorn,rage
rally,solidarity,minority,protest,rally
ramadan,ramadan,deity,worship,prayer
rank,rank,dedication,competence,glory
rate,rate,analysis,estimate,transfer
raw,range,raw,chef,vitality
reaction,science,theory,hydrolysis,reaction
readership,readership,intellectual,reference,curriculum
ready,duration,ready,thursday,tomorrow
relative,relative,ancestors,regeneration,heredity
relief,alert,specialty,condition,relief
religion,religion,brethren,holy,catholic
religious,holiness,enlightened,christian,religious
remark,seminar,remark,administration,business
remorse,woe,vicinity,sorrow,remorse
renaissance,deity,myth,sahara,renaissance
repentance,christian,repentance,penance,holiness
risk,probable,analysis,compulsion,risk
roman,law,chosen,roman,mythology
romance,sensitiveness,romantic,lull,romance
romantic,romantic,romance,anniversary,desire
saint,heaven,priesthood,saint,salvation
schedule,meantime,moment,work,schedule
science,science,experiment,reaction,hydrolysis
search,violence,custody,realism,search
seasonal,solitude,seasonal,budding,purity
sin,evil,killer,hellhole,sin
socialist,nationalist,general,regime,socialist
solidarity,empathy,solidarity,inclusion,rally
solitude,starting,seasonal,bliss,solitude
solstice,exuberance,solstice,excitement,bicentennial
soul,soul,heaven,divine,holy
sounding,performance,sounding,drama,theme
sovereign,chosen,nobility,almighty,sovereign
sovereignty,nobility,sovereignty,nationalism,principality
soviet,nationalism,yesterday,revolutionary,soviet
spirit,divine,soul,spirit,syndrome
spiritual,spiritual,buddhism,quiet,morning
strategy,reign,plan,brave,strategy
strength,labor,lean,construct,strength
strife,ascension,heaven,strife,salvation
struggle,struggle,gloom,thought,over
subtropics,comprehensive,downtime,relaxation,subtropics
succession,genius,succession,dynasty,dominance
superior,chosen,superior,satisfaction,heir
superiority,outset,morale,ambition,superiority
supernatural,danger,private,supernatural,almighty
supporting,friend,supporting,understanding,manipulating
suppression,crime,punishment,capture,suppression
supremacy,chosen,reign,principality,supremacy
surprise,offering,enthusiasm,surprise,gladness
surrender,peacetime,surrender,apostle,repentance
suspense,suspense,killer,fright,horror
suspicion,suspicion,why,expert,possibility
symmetry,symmetry,microevolution,life,biosynthesis
sympathy,discrimination,benevolence,sympathy,dependent
syndicate,syndicate,acquisition,asset,economy
talent,harmony,interval,score,talent
tall,establishment,temporal,nighttime,tall
teacher,understanding,curriculum,derivation,teacher
temporal,millisecond,times,temporal,lifespan
tenderness,urge,tenderness,romantic,sensitive
territorial,nationality,territorial,locale,latitude
testament,christian,divinity,devotion,testament
testimony,testimony,tribunal,trusteeship,justification
thankfulness,holiday,passover,gathering,thankfulness
thanksgiving,happiness,december,noel,thanksgiving
theme,sounding,interlude,theme,listening
theology,sermon,theology,religion,devotion
theory,synthesis,testing,reaction,theory
therapy,timid,idle,therapy,afternoons
think,guess,recall,think,revelation
thinking,understanding,thinking,guess,recall
thirst,wonder,thirst,zenith,starting
thought,thought,guess,mind,confusion
threat,radioactivity,secret,trouble,threat
thrill,acclimation,thrill,exile,magnitude
times,duration,times,lifespan,temporal
timing,nanosecond,timing,tomorrow,ready
tolerance,happiness,tolerance,diversity,pride
tough,coolness,lean,tough,grudge
tour,tour,dimension,seeking,finding
trade,assemblage,farm,heartland,trade
trading,progress,metropolitan,trading,public
tradition,goddess,zen,tradition,sanctum
training,lean,training,health,vigor
translation,translation,faction,reasoning,yesteryear
treatment,medical,treatment,curing,ill
treaty,caucus,government,republic,treaty
trial,reform,trial,judiciary,principles
tribunal,principles,honesty,judiciary,tribunal
tribune,tone,tribune,glee,overcompensation
tropic,beauty,solitude,tropic,alleviation
trouble,trouble,specialty,disease,ill
trustee,acquisition,professional,trustee,counseling
trusteeship,legislation,justification,advocate,trusteeship
truth,advocate,truth,think,legislation
tyranny,principality,nobility,tyranny,monarchy
uncertainty,ignorance,inquiry,problem,uncertainty
understanding,reference,substitute,faction,understanding
underworld,underworld,doomed,temper,cult
unemployed,unemployed,revelation,criteria,storage
unemployment,position,furlough,thursday,unemployment
unhappiness,abuse,unhappiness,glance,uneasiness
union,union,virgin,closer,fidelity
unity,imagination,beauty,unity,sensitive
university,university,independent,insight,reasoning
unknown,unknown,magic,problem,discovery
vacation,downtime,vacation,nationality,territorial
value,finance,value,syndicate,incentive
vanity,career,feminization,vanity,clientele
variety,spoiling,need,ramadan,variety
velocity,aerospace,impulse,autonomy,velocity
veneration,christian,prayer,holiness,veneration
virtue,heaven,salvation,virtue,afterlife
vitality,practice,vitality,activity,raw
void,fear,void,science,magic
waiting,waiting,public,learning,collective
war,ruin,war,deterrence,disaster
wartime,disaster,revolutionary,doomsday,wartime
wealth,wealth,velocity,exclusive,privilege
wed,virgin,married,anniversary,wed
west,view,sahara,west,forward
western,western,boundary,gray,view
westernization,township,comedy,second,westernization
whereabouts,moment,whereabouts,duration,times
who,scanning,who,secret,disaffection
widowhood,demise,fright,doomed,widowhood
wild,brave,species,wild,nobility
wildness,wildness,saturation,solitary,outskirts
willing,presence,scorn,willing,approval
winner,winner,glory,fame,rank
wisdom,discovery,genius,wisdom,initial
wise,invention,mind,science,wise
wish,lifetime,gladness,exuberance,wish
wishing,lifetime,wishing,gladness,exuberance
wit,wit,presence,illumination,inquiry
withdrawal,debtor,withdrawal,guilt,dissatisfaction
woe,gloom,pity,circulation,woe
work,work,workweek,schedule,quarterly
workweek,workweek,quarterly,accounting,analysis
worse,feelings,worse,understand,general
worship,christianity,faith,testament,worship
worthy,autonomy,worthy,silence,bourgeois
wrath,fear,intensity,trembling,wrath
year,tomorrow,moment,timing,year
yearning,yearning,appreciation,stimulus,gloom
yesterday,temporal,yesterday,latitude,compare
yesteryear,intellectual,editorial,yesteryear,idle
youth,medium,youth,lull,practice
zoology,dear,great,alleviation,zoology
